Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Makwasa Estate,N/A,N/A,Mulanje,SL515/1974,5,18/3/2026,N/A,243153/246155,NWRA," 1,023.00 ",Sambankhanga river,Irrigation," 10,679.10 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Kasembereka Estate,N/A,N/A,Mulanje,SL523/1974,5,18/3/2026,N/A,243156,NWRA, 18.20 ,Magombwa River,Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Kasembereka Estate,N/A,N/A,Mulanje,SL20/1975,5,18/3/2026,N/A,241156,NWRA, 45.50 ,Magombwa River,Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Makwasa Estate,N/A,N/A,Mulanje,SL88/1976,5,18/3/2026,N/A,,NWRA, 1.40 ,Chinsikwi River,Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Gotha Estate,N/A,N/A,Mulanje,SL21/1975,5,18/3/2026,N/A,340203,NWRA, 4.60 ,Nameless River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Likanga Estate,N/A,N/A,Mulanje,SL4/1989,5,18/3/2026,N/A,748212,NWRA," 1,821.00 ",Lichenya River,Irrigation," 19,009.42 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Likanga Estate,N/A,N/A,Mulanje,SL3/1989,5,18/3/2026,N/A,719208,NWRA," 1,864.00 ",Lichenya River,Irrigation," 19,458.30 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Likanga Glenorchy Estate,N/A,N/A,Mulanje,SL2/1989,5,18/3/2026,N/A,776198,NWRA, 480.00 ,Sukamayere River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Glenorchy Estate,N/A,N/A,Mulanje,SL1036/1981,5,18/3/2026,N/A,657331,NWRA, 403.10 ,Likhubula River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Likanga Estate,N/A,N/A,Mulanje,SL5/1989,5,18/3/2026,N/A,755213,NWRA," 1,770.00 ",Lichenya River,Irrigation," 18,477.03 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Likanga Estate,N/A,N/A,Mulanje,SL6/1989,5,18/3/2026,N/A,744212,NWRA," 1,864.00 ",Lichenya River,Irrigation," 19,458.30 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Likanga Estate,N/A,N/A,Mulanje,SL12/1996,5,18/3/2026,N/A,729211,NWRA, 700.50 ,Lichenya River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Likanga Estate,N/A,N/A,Mulanje,SL4/1989,5,18/3/2026,N/A,748212,NWRA," 1,821.00 ",Lichenya River,Irrigation," 19,009.42 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Gotha Estate,N/A,N/A,Mulanje,SL20/1975,5,18/3/2026,N/A,241156,NWRA, 72.00 ,Mwamphanzi River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Ruo Estate,N/A,N/A,Mulanje,SL16/1970,5,18/3/2026,N/A,853196,NWRA, 40.00 ,Ruo River,Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Ruo Estate,N/A,N/A,Mulanje,SL18/1970,5,18/3/2026,N/A,828208,NWRA, 272.00 ,Trib of Bambezi River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Ruo Estate,N/A,N/A,Mulanje,SL24/1970,5,18/3/2026,N/A,826224,NWRA, 18.00 ,Bambezi River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Eldorado Estate,N/A,N/A,Mulanje,SL21/1990,5,18/3/2026,N/A,737210,NWRA," 2,600.00 ",Lichenya River,Irrigation," 27,141.40 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Eldorado Estate,N/A,N/A,Mulanje,SL385/1973,5,18/3/2026,N/A,807196,NWRA, 4.50 ,Maguyawo River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Eldorado Estate,N/A,N/A,Mulanje,SL13/1990,5,18/3/2026,N/A,767230,NWRA, 24.00 ,Khonjeni River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Eldorado Estate,N/A,N/A,Mulanje,SL168/1976,5,18/3/2026,N/A,795225,NWRA, 281.00 ,Chirimbwe River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Ruo Estate,N/A,N/A,Mulanje,SL340/1970,5,18/3/2026,N/A,803216,NWRA, N/A ,Mangango River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Esparanza Estate,N/A,N/A,Mulanje,SL765/1976,5,18/3/2026,N/A,,NWRA, 54.00 ,Mpolopoto River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Ruo Estate,N/A,N/A,Mulanje,SL926/1978,5,18/3/2026,N/A,823219,NWRA, 22.70 ,Bambezi River,Domestic," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Mianga Estate,N/A,N/A,Mulanje,SL500/1973,5,18/3/2026,N/A,225192,NWRA, 3.60 ,Mianga River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Ruo Estate,N/A,N/A,Mulanje,SL14/1970,5,18/3/2026,N/A,853196,NWRA, 960.00 ,Ruo River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Gotha Estate,N/A,N/A,Mulanje,SL359/1978,5,18/3/2026,N/A,,NWRA, 332.00 ,Nsikidzi River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Esparanza Estate,N/A,N/A,Mulanje,SL357/1973,5,18/3/2026,N/A,,NWRA, 68.30 ,Likhubula River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Ruo Estate,N/A,N/A,Mulanje,SL12/2016,5,18/3/2026,N/A,,NWRA," 5,892.00 ",Ruo River,Irrigation," 61,506.59 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Glenorchy Estate,N/A,N/A,Mulanje,SL10/2016,5,18/3/2026,N/A,,NWRA, 357.76 ,Namboni River,Irrigation," 10,000.00 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Limbuli Estate,N/A,N/A,Mulanje,SL8/2016,5,18/3/2026,N/A,,NWRA," 1,930.00 ",Phwera River,Irrigation," 20,147.27 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Ruo Estate,N/A,N/A,Mulanje,SL6/2016,5,18/3/2026,N/A,,NWRA," 17,109.00 ",Ruo/Muloza confluence,Irrigation," 178,600.35 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Makwasa Estate,N/A,N/A,Mulanje,SL5/2016,5,18/3/2026,N/A,,NWRA," 1,505.00 ",Nsuwadzi River,Irrigation," 15,710.70 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Likanga Estate,N/A,N/A,Mulanje,SL7/2016,5,18/3/2026,N/A,,NWRA," 2,495.62 ",Lichenya River,Irrigation," 26,051.78 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/14,Eastern Produce MW LTD,Kwacibi House,P.J Nazombe,0997991148/0994787211/0997966093,vnyirenda@easternproduce.co.mw/Ruo@easternproduce.co.mw,"Box 53, Mulanje",Minimini Estate,N/A,N/A,Mulanje,SL11/2016,5,18/3/2026,N/A,,NWRA," 5,152.00 ",Lichenya River,Irrigation," 53,781.73 "," 200,000.00 ",,,,,,,,,,
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL214/1976,5,N/A,N/A,863234,NWRA," 1,064.00 ",Lujeri River,Irrigation," 11,961.49 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL15/95,5,N/A,N/A,863203,NWRA," 9,800.00 ",Ruo River,Irrigation," 102,302.20 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL895/78,5,N/A,N/A,842525,NWRA, 960.00 ,Lujeri River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL767/1970,5,N/A,N/A,8233580,NWRA, 28.00 ,Linji River,Domestic & Power," 20,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL135/1976,5,N/A,N/A,840340,NWRA, 55.43 ,Ruo River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL517/1974,5,N/A,N/A,830292,NWRA, 259.00 ,Lujeri River,Domestic & Industrial," 20,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL699/1976,5,N/A,N/A,734217,NWRA," 3,120.00 ",Chanunkha River,Irrigation," 31,317.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL364/73,5,N/A,N/A,727210,NWRA," 3,200.00 ",Lichenya River,Irrigation, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL365/73,5,N/A,N/A,714214,NWRA, 636.00 ,Sakamapazi,Irrigation, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL366/1976,5,N/A,N/A,716213,NWRA, 286.00 ,Zambang'oma Dam,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL445/73,5,N/A,N/A,855231,NWRA, 91.00 ,Mluzi River,Domestic & Industrial, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL446/73,5,N/A,N/A,854230,NWRA, 18.00 ,Mluzi River,Irrigation, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL447/73,5,N/A,N/A,864237,NWRA, 18.00 ,Mluzi River,Irrigation, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL448/73,5,N/A,N/A,862245,NWRA, 18.00 ,Unnamed,Irrigation, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL9/1991,5,N/A,N/A,858236,NWRA, 864.00 ,Muluzi River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL6/1994,5,N/A,N/A,717208,NWRA, 459.00 ,Lichenya River,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL178/1971,5,N/A,N/A,718207,NWRA," 7,400.00 ",Chanunkha River,Domestic," 77,248.60 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL179/71,5,N/A,N/A,724230,NWRA, 68.20 ,Dam on Chipeta,Irrigation," 10,000.00 "," 200,000.00 ",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL180/71,5,N/A,N/A,724230,NWRA, 68.20 ,Dam on Mikundi,Irrigation, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL181/71,5,N/A,N/A,870197,NWRA, 68.20 ,Dam on Mikundi,Irrigation, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL182/71,5,N/A,N/A,865205,NWRA, 68.20 ,Nayala Stream,Irrigation, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL184/71,5,N/A,N/A,882225,NWRA, 68.20 ,Ngusitu Stream ,Irrigation, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL187/71,5,N/A,N/A,734217,NWRA, 30.2/68.2/54.5(153.0) ,Chanunkha River,"Domestic,Irrigation & Industrial", Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL188/71,5,N/A,N/A,862204,NWRA, 19.8/38.6(58.4) ,Ruo River,Domestic & Industrial, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/20,Lujeri Tea Estates LTD,Mulanje,N/A,0992337259,,"Box 133, Mulanje",Mulanje,,,Mulanje,SL526/74,5,N/A,N/A,826236,NWRA, 36/259(295) ,Mbombezi River,Domestic & Industrial, Not in Use , -   ,No,No,No,No,No,No,No,No,No,No
