COUNT,FILE,Licence holder,,,,,,LOCATION,,COORDINATES,,DISTRCIT,GRANT NUMBER,,,,,,,,Expected Annual rental ,Expected renewal fee,YEARS IN ARREAR,,,,,,,,,
Surface Water,NWRA/811,Limbani Irrigation Scheme,P.O Box 17,N/A,N/A,N/A,"C/O Kasungu Irrigation Department ,Kasungu RDP, P.O.Box 17, Kasungu",Maswanji Village,,552435,8756658,Kasubgu,S.62/2009,5,22/11/2014,23/11/2009,NWRA,1512,Dwangwa River,Irrigation,"17,604.97","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/812,Jalo Irrigation Scheme,Chinthola Village,N/A,,,"Chithola Village,P.O Box 626,Kasungu",Chithola Village,,563910,8577821,Kasungu,SL 63/2009,5,11/2/2014,11/3/2009,NWRA,1224,Dwangwa River,irrigation,"14,251.64","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/813,Bakuwa Henry,Near Bua River,,0999951215/0888576222,,P.O Box 396,Near BUA River,,559307,859187,Kasungu,SL 64/2009,5,22/11/2014,23/11/2009,NWRA,12.8,Bua River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/814,Kasinjeni Irrigation Scheme,,Mfumu Nkhoma,,,Private Bag 8,,,559307,8529187,Kasungu,SL 65/2009,5,22/11/2014,23/11/2009,NWRA,4,Bua River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/815,Kukuza cottage,,R.Van Hess,,,P.O.Box 169,Salima,,673450,8478548,Salima,S.6/2009,5,22/11/2014,23/11/2009,NWRA,0.6,Lake malawi,Domestic,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/816,Mimiza Cottage,,J. Namalomba(Owner),,,P.O Box 504,,,673442,8478648,Salima,SL 7/2009,5,22/11/2014,23/11/2009,NWRA,0.13,Lake malawi,Domestic,"10,000.00","200,000.00",No,,,,,,,,,
Surface Water,NWRA/830,Kanyenda Irrigation Scheme,N/A,Chairman,N/A,N/A,P.O Box 508,Kanyenda,,550871,8576168,Kasungu,SL66/2009,5,22/11/2014,23/11/2009,NWRA,7.55,Dwangwa River,irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/832,Lisandwa Water Users Association,N/A,N/A,N/A,N/A,"C/O Kakhome F.P. School,P.O Box 602,Kasungu",Along lisandwa river,,536700,8536312,Kasungu,SL05/2011,5,3/6/2016,3/7/2011,NWRA,72,Lisandwa River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/833,Stone Terrace Lodge,N/A,N/A,N/A,N/A,"P.O Box 300,Nkhotakota",Mbalame Village,,xxxxx,xxxxx,Nkhotakota,SL07/2011,5,3/6/2016,3/7/2011,NWRA,2,Lake malawi,Domestic,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/833B,Likuni Parish Youth Group,Likuni Parish,N/A,N/A,N/A,"P.O Box 133,Lilongwe",Likuni,,576734,8448480,Lilongwe,SL 8/2011,5,3/6/2016,3/7/2011,NWRA,172.8,Lilongwe River,irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/834,Luvwere Dam,Kafukule,Chairman,N/A,N/A,"P.O Box 22,Mzimba",Kafukule,,572993,8740144,Mzimba,SL09/2011,5,3/6/2016,3/7/2011,NWRA,1293,Luvwere Stream,Irrigation,"15,055.05","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/835,"Mtendere WUA,Dzimphutsi Mtendere Irrigation Scheme",N/A,N/A,N/A,N/A,"C/O Mfera F.P. School. P.O.Box 66,Chikwawa",Dzimphutsi Village,,xxxxx,xxxxxx,Chikwawa,S.10/2011,5,11/6/2016,3/7/2011,NWRA,8,Nkhuzi River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/836,Shire Valley Cane Growers Limited,N/A,N/A,N/A,N/A,P.O. Box 138,Kasinthula cane growers Ltd,,966,223,Chikwawa,SL. 11/2011,5,3/6/2016,3/7/2011,NWRA,198720,Shire River,irrigation,"2,273,903.28","200,000.00",No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/838,Namadzi Bottlers,N/A,N/A,N/A,N/A,"P.O.Box 1230,Blantyre",,,734250,8281000,Blantyre,S.14/2011,5,3/6/2016,3/7/2011,NWRA,192,Namadzi Spring,Bottled Wter,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/839,Chulu 1 irrigation Club,N/A,N/A,N/A,N/A,"C/O Kanyindula School,P.O Box 17",Nkhwazi,,,,Mchinji,SL 15/2011,5,3/6/2016,7/3/2011,NWRA,16.87,Likase River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/839,Chulu 1 irrigation Club,N/A,N/A,N/A,N/A,"C/O Kanyindula School,P.O Box 18",Nkhwazi,,,,Mchinji,SL 16/2011,5,3/6/2016,7/3/2011,NWRA,18,Likase River,irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/841,Mkombezi Water User Association,N/A,N/A,N/A,N/A,P.O Box 206,Nzangaya Village,,720593,8630360,Nchalo,SL 17/2011,5,3/6/2016,3/7/2011,NWRA,8640,Nkombezi River,Irrigation,"90,192.96","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/842,Community Development Corporation Limited,N/A,N/A,N/A,N/A,"C/O William Faulker, P.O.Box 30636,Lilongwe",Chimimina Village,,88.106N,6.126E,Rumphi,S.18/2011,5,3/6/2016,3/7/2011,NWRA,820,xxxxxxx,Bottled Water,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/843,Ngoni Irrigation Scheme,N/A,N/A,N/A,N/A,P.O Box 20053,Kawale,,569631,8452302,Lilongwe,SL 19/2011,5,3/6/2016,3/7/2011,NWRA,19.2,Nanjiri River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/844,Khulo Irrigation Scheme,N/A,N/A,N/A,N/A,"C/O Dedza RDP,P.O.BOX 49,Dedza",,,641785,8432242,Dedza,S.20/2011,5,3/6/2016,7/3/20111,NWRA,21.6,Lifizi River ,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/845,Windu Irrigation Scheme,N/A,N/A,N/A,N/A,C/O Windu P.O Box 280,Dedza,,640296,8428526,Dedza,SL 21/2011,5,7/6/2016,3/7/2011,NWRA,3888,Windu spring,irrigation,"45,269.93","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/846,Kapeni Irrigation Scheme (IRLADP ),Mpenu EPA,N/A,N/A,N/A,P.O Box 199,Mpenu EPA,,,,Lilongwe,SL 13/2008,5,8/4/2016,7/3/2011,NWRA,15.4,Kalira River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/846,Kapeni Irrigation Scheme (IRLADP ),Mpenu EPA,N/A,N/A,N/A,P.O Box 19,Mpenu EPA,,606732,8457356,Lilongwe,SL 22/2011,5,7/6/2016,7/3/2011,NWRA,15.4,Kalira River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/847,Mtondo Water Users Association,N/A,N/A,N/A,N/A,P.O Box 491,salima,,644154,8462030,Salima,SL 23/2011,5,3/6/2016,3/7/2011,NWRA,15,Mtondo River,irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/848,Chiliko Water Users Association,T/A Mwambo,N/A,N/A,N/A,P.O Box 199,Chiliko WUA  in TA Mwambo,,755445,8304892,Zomba,SL 24/2011,5,3/6/2016,3/7/2011,NWRA,216,Chiliko Stream,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/849,Chikumbutso Water User Association (IRLAD),Nkawa Village,N/A,N/A,N/A,P.O Box 16,Nkawa Village,,10'36.79,46'23.62,Zomba,SL 25/2011,5,3/6/2016,3/7/2011,NWRA,4608,Chingale River,Irrigation,"49,027.97","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/850,Njala Irrigation Scheme,Gelevulo Village,N/A,N/A,N/A,P.O Box 199,Gelevulo Village,,770309,8293071,Zomba,S.26/2011,5,3/6/2016,3/7/2011,NWRA,412.7,Nankhombe River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/851, Chombe Water User Association (IRLAP),"Chombe Village,T/A Mlambe",N/A,N/A,N/A,P.O.Box 66,Chombe Village ,,1342.24,4799.87,Zomba,S.27/2011,5,3/6/2016,3/7/2011,NWRA,34.6,Mwitsa River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/852,Khanda Water Users Association,"Khanda Villge,T/A Kumtumanji",N/A,N/A,N/A,P.O.Box 1391,Zomba,,698,16,Zomba,S.28/2011,5,3/6/2016,3/7/2011,NWRA,691.2,Naisi River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/853,Kalindo/ Makongolo Irrigation Scheme (IRLADP),T/A Malemia,N/A,N/A,N/A,"PO Box 36, Lilongwe",Domasi,,754458,8304889,Zomba,S.29/2011,5,3/6/2016,3/7/2011,NWRA,27.36,Makongolo River ,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/854,Segula Water Users Association ,"Segula Village, T/A Mwambo",N/A,N/A,N/A,P.O.Box 199,Segula Village,,772717,8292655,Zomba,S.30/2011,5,3/6/2016,3/7/2011,NWRA,288,Nakhombe River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/855,Malema Irrigation Club,GVH Misomali,N/A,N/A,N/A,P.O.Box 21,Chiringa Village,,794424,8248258,Phalombe,S.32/2011,5,3/6/2016,3/7/2011,NWRA,34.44,Muloza River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/856,Tiyanjane Water Users Association,Mangunda Village,N/A,N/A,N/A,"P.O.Box 46,Domasi",Mangunda Village,,754198,8312594,Zomba,S.32/2011,5,3/6/2016,3/7/2011,NWRA,950.4,Nsambaitsa River ,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/857,Bikinani Water Users Association ,"T/A Mlumbe,Chingale",N/A,N/A,N/A,"P.O.Box 16, Chingale,Zomba",Chingale Vilage,,145196.97,515.2135,Zomba,S.33/2011,5,3/6/2016,3/7/2011,NWRA,43.2,Namitembo River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/858,Likangala Water Users Association,T/A Mwambo,N/A,N/A,N/A,"P.O.Box 199,Zomba",T/A Mwambo,,728,927,Zomba,S.36/2011,5,28/9/2027,29/9/2022,NWRA,28584,Likangala River,Irrigation,"304,126.61","200,000.00",No,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
Surface Water,NWRA/859,Nazolo B Water Users Association,Maide Vila,N/A,N/A,N/A,"C/O Nkudzi F.P School,P.O.Box 107",Maide Village,,704357,8219949,Chikwawa,S.35/2011,5,3/6/2016,3/7/2011,NWRA,141.1,Maperera River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/861,Nkhate Water Users Association,,Godfrey M Mahiye,N/A,N/A,P.O.Box  46,Chikwawa,,709222,8214571,Chikwawa,S.37/2011,5,3/6/2016,3/7/2011,NWRA,432,Nkhate River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/862,Muona Water Users Association,Muona Village,Christina Guta,N/A,N/A,"P.O.Box 50,Muona",Muona Village,,730991,8187325,Chikwawa,S.38/2011,5,3/6/2016,3/7/2011,NWRA,691.2,Thangazi River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/863,Chakalamba Irrigation Scheme,Chiringa Village,Henery Tebulo,N/A,N/A,"C/O Nkhulambe F.P. School,P.O.Box 25,Chiringa",Chiringa Village,,793422,8246053,Phalombe,S.39/2011,5,3/6/2016,3/7/2011,NWRA,79.2,Lunguni River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/864,Midule Irrigation Scheme,Lunzu,Teleza Chigodo,N/A,N/A,"P.O.Box 56, Lunzu",Lunzu,,xxx,xxxx,Blantyre,S.40/2011,5,3/6/2016,3/7/2011,NWRA,37.4,Midule Stream,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/865,Chimwavi Water Users Association ,Mbame,Mai Khoswe ,N/A,N/A,"C/O Mbame F.P School ,P.O.Box 23","T/A Nsomba,Mbame",,75000,823400,Blantyre,S.41/2011,5,3/6/2016,3/7/2011,NWREA,15,Chimwavi Stream,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/866,Mamikhate Irrigation Scheme,Thabwani,N/A,N/A,N/A,"C/O Thabwani F.P.School, P.O.Box 150",Thabwani,,704500,8224500,Chikwawa,S.42/2011,5,3/6/2016,3/7/2011,NWRA,1728,Namikhate Stream,Irrigation,"20,119.97","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/867,Madzira Irrigation Scheme,Thabwani,M.kapiye,N/A,N/A,"C/O Thabwani F.P.School, P.O.Box 150",Thabwani,,xxx,xxx,Chikwawa,S.43/2011,5,3/6/2016,3/7/2011,NWRA,15.1,Madzira Stream,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/868,Namigoza Irrigation Scheme,T/A Mankhuwi,N/A,N/A,N/A,"C/O Bodza F.P.School,P.O.Box 5",T/A Mankhuwi,,716684,8207145,Chikwawa,S.44/2011,5,3/6/2016,3/7/2011,NWRA,15.1,Mulenga River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/869,Tikwenda walutundu Water Users Association,Katowo,N/A,N/A,N/A,"C/O Chisimuka F.P  School,P.O.Box 4,Katowo",Katowo,,561282,8811875,Rumphi,S.46/2011,5,3/6/2016,3/7/2011,NWRA,40.32,Hewe River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/870,Mphande Water Users Association,,Catherine Munthali,881494047,N/A,"PO Box 29, Livingstonia",Livingstonia,,621285,882932,Rumphi,S.47/2011,5,3/6/2016,3/7/2011,NWRA,12.38,Mamchewe River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/871,Usowoya Irrigation Scheme,Mphompha,Sydney Gondwe,N/A,N/A,"P/A Box 10, Mphompha ",Mphompha,,619685,8787331,Rumphi,S.48/2011,5,3/6/2016,3/7/2011,NWRA,44.64,Lwatizi Stream,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/875,Nganganga Irrigation Scheme,Kasenga,N/A,N/A,N/A,"C/O Kasemga School, PO Box 202",Kasenga,,611055,8783205,Rumphi,S.49/2011,5,3/6/2016,3/7/2011,NWRA,22.75,Kasenga Stream,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/876,Tiyese Water Users Association,Mphwamphwa,Maggie K. Chavula,N/A,N/A,"C/O Mhuju School PO Box 4, Mphwamphwa",Mphwamphwa,,605752,8800049,Rumphi,S.50/2011,5,3/6/2016,3/7/2011,NWRA,40.75,Mhuju River ,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/877,Chayina Water Users Association,Mchenachena,N/A,N/A,N/A,C/O Lura School P/A Mchenachena,Mchenachena,,612089,8814440,Rumphi,S.51/2011,5,3/6/2016,3/7/2011,NWRA,4.75,Lura Stream,Irrigation,"10,000.00","200,000.00",NO,NO,NO,NO,NO,NO,NO,NO,NO,NO
Surface Water,NWRA/878,Kanthuwalya Waters Association,Nthalire,Simgona Committee Member,993106646,N/A,"C/O Mibanga CDSS School, PO Box 12",Nthalire,,578042,8878675,Chitipa ,S.52/2011,5,3/6/2016,3/7/2011,NWRA,12.4,Mibanga River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/879,Malawa Water Users Association,Chisenga,Dickens Munthali,N/A,N/A,C/O Malawa School P/A Chisenga,Chisenga,,540935,8893482,Chitipa ,S.53/2011,5,3/6/2016,3/7/2011,NWRA,40.75,Malawa Stream,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/880,Bugulira Water User Group ,N/A,N/A,N/A,N/A,"C/o Mlembe Primary School, P.A. Chisenga",Chisenga,,541401,8890840,Chitipa ,S.54/2011,5,3/6/2016,3/7/2011,NWRA,10.94,Bugulira Stream,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/881,Malengwe Irrigation Group,Chisenga,N/A,N/A,N/A,"C/O Chambo Mission, P/A Chisenga",Chisenga,,540769,8899918,Chitipa ,S.55/2011,5,3/6/2016,3/7/2011,NWRA,12.53,Chisenga Stream,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/882,Chibula Water Users Association,Lifita EPA,N/A,N/A,N/A,C/O Lufita P/A,Lufita EPA,,,,Chitipa ,S.56/2011,5,3/6/2016,3/7/2011,NWRA,6.61,chibula Stream,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/883,Tapukwa Water Users Association ,,,,,C/O Mhuju EPA,Mhuju EPA,,609107,8806292,,S.572011,5,3/6/2016,3/7/2011,NWRA,6.91,Hewe River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/884,Titukulane Irrigation Group,N/A,Lifa Kamwendo,N/A,N/A,"C/O Chipoka EPA, P.O Box 58",Salima,,14'05.636,034'28003,Lilongwe,SL 58/2011,5,3/6/2016,3/7/2011,NWRA,69.3,Limphakwe Stream,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/887,Unique Financial Investment (Lifuwu Sugarcane),,Willy Zenga,,,"PO Box 295, Lilongwe",Salima,,"13""40""40","34""55""22",Salima,S.60/2011,5,3/6/2016,3/7/2011,NWRA,200,Lake Malawi,Domestic,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/887,Unique Financial Investment (Lifuwu Sugarcane),,Willy Zenga,,,"PO Box 295, Lilongwe",Salima,,"13""40""40","34""55""22",Salima,S.61/2011,5,3/6/2016,3/7/2011,NWRA,2000,Lake Malawi,Industrial,"24,090.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/887,Unique Financial Investment (Lifuwu Sugarcane),,Willy Zenga,,,"PO Box 295, Lilongwe",Salima,,"13""40""40","34""55""22",Salima,S.62/2011,5,3/6/2016,3/7/2011,NWRA,1244,Lake Malawi,Irrigation,"14,983.98","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/888,Sekazawo Irigation Scheme,Sekazawo Village,Micheal Nyang'ama,0999800430/ 0888390403,N/A,"C/O Mangochi Diocese, PO Box 44, Mangochi","Sekazawo Village, T/A Msamala",,720100,8323250,Balaka,S.64/2011,5,3/6/2016,3/7/2011,NWRA,6912,Livilivili River ,Irrigation,"73,541.95","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/889,Liuzi/Chigwere Water User Association,N/A,N/A,N/A,N/A,"C/O Chikwina, Mzuzu",Mzuzu ,,161699,8741774,Mzuzu,S.65/2011,5,3/6/2016,3/7/2011,NWRA,7200,Ruvuwo Dam,Irrigation,"76,606.20","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/936B,Tchetchetche,Khomboli FP school,Wedson Mhango,N/A,N/A,"C/O Nkhomboli FP School, Ntchenachena",Khomboli FP School,,619652,8809554,Rumphi,GL68/2011,5,7/3/2016,7/3/2011,NWRA,12.38,Chawayi Stream,Irrigation,"10,000.00","200,000.00",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/937,Mphompha Apple Growers and Marketing Organisation (MAGAMO),,David Yafeti,999226939,daviedm2005@yahoo.co.uk,"Box 6, Mphompha, Rumphi","Mphompha, Rumphi",,617993,8705261,Rumphi,SL70/2011,5,7/3/2016,7/3/2011,NWRA,4.2,Kavuniko Stream,Irrigation,"10,000.00","200,000.00",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/938,Zumulu B.,"Ntaja, Machinga",N/A,N/A,N/A,"c/o Nsanama EPA, Box 28, Ntaja, Machinga","Ntaja, Machinga",,N/A,N/A,Machinga,SL71/2011,5,11/4/2017,11/4/2012,NWRA,144.7,Zumulu river,Irrigation,"10,000.00","200,000.00",no,no,no,no,no,no,no,no,no,no
Surface Water,NWRA/942,Kamwaza Water User Association ,,,,,"P.O. Box 68, Machinga",Mwepeta,Ngokwe,803664,8374579,,SL75/2011,5,7/3/2029,8/3/2024,NWRA,2088,Lifune river,Irrigation,,,,,,,,,,,,
Surface Water,NWRA/944,Nankhokwe Irr. Scheme,Mtakataka,Patrick Namakhoma,888755190,cadecomdz@sdnp.org.mw,"Box 41, Mtakataka",Mtakataka,,663762,8419351,Dedza,SL77/2011,5,11/4/2017,11/4/2012,NWRA,1020,Nankhokwe River,Irrigation,"5,398.35","200,000.00",No,no,No,No,No,No,No,No,No,No
Surface Water,NWRA/951,Napoleon Dzombe,Lumbadzi,Napoleon Dzombe,,,"Mr Napoleon Dzombe, Box 146, Lumbadzi",Lumbadzi,,N/A,N/A,Dowa,SL86/2011A,5,11/4/2017,11/4/2012,NWRA,54,Bua River,Irrigation,"10,000.00","200,000.00",No,No,No,No,No,No,No,No,No,No
Surface Water,NWRA/991,Salima Sugar Limited (SSCL,Green Belt Initiative Chikwakwa Green Irrigation Scheme,Dr. Charles Thupi,999950350,,"P/Bag 301, Lilongwe",,,631001,8503500,Salima,SL2/2022,5,28/9/2027,29/9/2022,NWRA,200,Lake Malawi,Industrial,"10,000.00", -   ,,,,,,,,,,
Surface Water,NWRA/992,MOTOR-ENGIL ,City Center,Peace ,1773810,mota-engil@mota-engil.mw,"Nasra House 1st Floor - City Center, Box 31379 - Lilongwe",,,699536,8287916,Lilongwe,SL335/2021,5,29/6/2026,30/6/2021,NWRA,76,Lilongwe River,Domestic/Irrigation,"20,000.00","200,000.00",,,,,,,,,,
Surface Water,NWRA/992,MOTOR-ENGIL,City Center,Peace ,1773810,mota-engil@mota-engil.mw,"Nasra House 1st Floor - City Center, Box 31379 - Lilongwe",,,585096,8453764,Lilongwe,SL6/2022,5,25/5/2027,25/3/2022,NWRA,80,Lilongwe River,Construction,"10,000.00","200,000.00",,,,,,,,,,
Surface Water,NWRA/992,MOTOR-ENGIL,City Center,Peace ,1773810,mota-engil@mota-engil.mw,"Nasra House 1st Floor - City Center, Box 31379 - Lilongwe",,,735077,8382125,Mangochi,SL42/2017,5,8/1/2019,9/1/2018,NWRA,22.5,Lake Malombe,Construction,"10,000.00","200,000.00",,,,,,,,,,
Surface Water,NWRA/992,MOTOR-ENGIL,City Center,Peace ,1773810,mota-engil@mota-engil.mw,"Nasra House 1st Floor - City Center, Box 31379 - Lilongwe",Kamuzu Barrage,,738394,8334181,Machinga,SL44/2017,5,8/1/2019,9/1/2018,NWRA,195000,shire river,Construction,"1,049,831.00","200,000.00",,,,,,,,,,
Surface Water,NWRA/992,MOTOR-ENGIL,City Center,Peace ,1773810,mota-engil@mota-engil.mw,"Nasra House 1st Floor - City Center, Box 31379 - Lilongwe",Katapwito Village,,735404,8375165,Mangochi,SL41/2017,5,8/1/2019,9/1/2018,NWRA,22.5,Lake Malombe,Construction,"10,000.00","200,000.00",,,,,,,,,,
