NO.,Client Name ,Address,Contact,Email address,Location,Grant number,Registration Date,Expire date,Renewal fee,  Application fees  , Renewal Fees 2021-2022 , Renewal Fees 2022- 2023 , Renewal Fees 2023-2024 ,Status,
17,PBM Construction Co. LTD,"Box 31495, Lilongwe",0998895291/0888901940,pbmconstructions@gmail.com,Lilongwe,"BDP 12/2021,CP 12/2021",19/3/2021,18/3/2022,Renewed,490000,N/A,420000,580000,Active,
18,BWS Borehole & Water System,P Bag 3 Ndilande,886599990,BWS.boreholes@gmail.com,Blantyre,"BDP 11/2021,CP 11/2021",19/03/2021,18/03/2022,Not yet renewed,980000,N/A,0,0,expired,
19,SAIFRO Limited ,Box 81 Lilongwe,999963709,saifromw@gmail.com,Lilongwe,"BDP 10/2021,CP 10/2021",19/3/2021,18/3/2022,Not yet renewed,980000,N/A,420000,,expired,
20,Kapitapita Borehole Drillers,"Box 885, Zomba",099928996/0888516996,teddysmani2016@gmail.com,Zomba,"BDP 54/2021,CP 54/2021",3/8/2024,3/7/2025,Renewed,980000,N/A,0,0,expired,
21,Kanjira Investment,Box 130 CrossRoads Lilongwe ,0888563499/0999744414,kanjirainvestments@gmail.com,Lilongwe,"BDP 51/2021,CP 51/2021",6/12/2021,5/12/2022,Not yet for renewal,490000,N/A,0,0,expired,
22,Hydro Solutions LTD ,Box E 332 POST DOT. NET 1,0992597018/0888861651,hydrosolutionsmw@gmail.com,Blantyre,"BDP 50/2021,CP 50/2021",30/06/2021,29/06/2022,Due for renewal,980000,N/A,520000,,Active,
23,Patel & Gohaniya  Drilling Contractor,"Box 181, Mzuzu",0999417860/0882171500,pgdrilling.co@gmail.com,Mzimba,"BDP 33/2021,CP 33/2021",30/6/2021,29/6/2022,Due for renewal,980000,N/A,490000,,Active,
24,Amazon Drilling & Exploration Limited,"Box 5184, Lilongwe",993910646,amazondrillingcompany@gmail.com,Lilongwe,"BDP 40/2021,CP 40/2021",30/06/2021,29/06/2022,Need Renewal,400000,N/A,0,0,Active,
25,Water Drilling Contractors  ,"Box 5910, Limbe",0888821399/0999821399,,Blantyre,"BDP 38/2021,CP 38/2021",30/06/2021,29/06/2022,Need Renewal,980000,N/A,0,0,Active,
26,World Vision Malawi ,"Box 692, Lilongwe",01750540/0999216869,ignatius-kamwanje@wvi.org,Lilongwe,"BDP 55/2021,CP 55/2021",6/12/2021,5/12/2022,Need Renewal,980000,N/A,0,0,expired,
27,Drill Max Constructor  ,"Box 2278, Lilongwe",0999260837/0999260837,remmiekagwa@gmail.com,Lilongwe,"BDP 32/2021,CP 32/2021",6/30/2021,6/29/2022,Need Renewal,600000,N/A,0,0,expired,
28,T & T Investment,"Box 636, Mzuzu",998194499,tntinvestmalawi@gmail.com,Mzimba,"BDP 26/2021,CP 26/2021",30/6/2021,29/6/2022,Renewed,980000,N/A,580000,,Active,
29,MUFRI Africa LTD ,"Box 30810, Chichiri, Blantyre",0888465610/0998340826,mufrimalawi.africa@gmail.com,Blantyre,"BDP 41/2021,CP 41/2021",30/06/2021,29/06/2022,need for renewal,980000,N/A,0,0,expired,
30,Borehole Construction & Groundwater Management Fund ,"P/Bag 390, Lilongwe 3",1770344 /0999953997,gjwanangwa@gmail.com,Lilongwe,"BDP 31/2021,CP 31/2021",30/06/2022,29/06/2023,need for renewal,980000,N/A,0,0,expired,
31,Water boring contractor,"Box 426, Lilongwe",888821137,faz@africa-online.net,Lilongwe,"BDP 30/2021,CP 30/2021",30/06/2021,29/06/2022,Need for renewal,980000,N/A,,,expired,
32,Market Worth Traders LTD ,"Box 1877, Lilongwe",997700777,marketworthdrillers@gmail.com,Lilongwe,BDP 29/2021,30/6/2021,29/6/2022,Need for renewal,490000,N/A,0,0,expired,
33,Central Construction Group ,"LTD Box 1012, Lilongwe",0999511010/099953215,andychiphwanya@gmail.com,Lilongwe,"BDP 42/2021,CP 42/2021",30/06/2021,29/06/2022,Renewed,490000,N/A,0,0,Active,
34,Morch Borehole Drilling ,"P.O.Box 5060, Limbe",0999970319/0999952220,morchdrillers@gmail.com,Blantyre,"BDP 45/2021,CP 45/2021",30/9/2021,29/9/2022,Need for renewal,980000,N/A,400000,0,Active,
35,SAWA Group Limited ,"Box 31560, Lilongwe 3",0888999007/0999796552,info@groupsawa.com,Lilongwe,"BDP 46/2021,CP 46/2021",30/09/2021,29/09/2022,Renewed,980000,N/A,580000,0,Active,
36,Ndafika Drilling ,"Box 5314, Limbe",0999786123/0991133066,ndafikadrilling@gmail.com,Blantyre,"BDP 39/2021,CP 39/2021",30/06/2021,29/06/2022,Need Renewal,980000,N/A,0,0,expired,
37,RKN Transition investments ,"Box 30878, Lilongwe 3",0888622777/099954550,rkntransition@gmail.com,Lilongwe,"BDP 49/2021,CP 49/2021",30/09/2021,29/09/2022,need renewal,980000,N/A,0,0,expired,
38,K.C. Drillers  ,"Box 31018, Lilongwe",0997000309/0999100480,XX,Lilongwe,"BDP 36/2021,CP 36/2021",30/6/2021,29/6/2022,Renewed,980000,N/A,580000,0,Active,
39,Water way,"Box 1025, Zomba",990055474,waterwaymalawi@gmail.com,Zomba,"BDP 25/2021,CP 25/2021",9/29/2022,9/28/2023,XX,980000,N/A,580000,0,Active,
40,DOXA Wells Drilling,"Box 30192 , Lilongwe ",0999037690/0883619401,doxacustomerservice@gmail.com,Lilongwe,"BDP 32/2021,CP 32/2021",30/6/2021,29/6/2022,Need for renewal,980000,N/A,400000,0,Active,
41,Easy Borehole Drillers ,"Box 3332, Blantyre",088434445/0999434445,eazybhd@yahoo.com,Blantyre,"BDP 17/2021,CP 17/2021",19/3/2021,18/3/2022,Renewed,980000,N/A,420000,0,Active,
42,Geoserve engineering,"Box 526, Limbe",999951220,pnyemba@geoservemw.com,Blantyre,"BDP 16/2021,CP 16/2021",19/3/2021,18/3/2022,Renewed,980000,,980000,420000,Active,
43,Keiretsu Construction LTD  ,"Box 201, Lilongwe",01775125/0991249410,keiretsu@globemw.net,Lilongwe,"BDP 15/2021,CP 15/2021",3/8/2024,3/7/2025,Renewed,980000,N/A,420000,0,Active,
44,MBM Drilling Solutions ," Box 3333, Blantyre",0999292979/0888292979,mbmdrillingsolutions@gmail.com,Blantyre,"BDP 48/2021,CP 48/2021",30/9/2021,29/9/2022,,980000,N/A,580000,0,Active,
45,Nditha Civil & Drilling Contractors,"Box 30947, Lilongwe",995216690,thokochisamba@gmail.com,Lilongwe,"BDP 22/2021,CP 22/2021",19/3/2021,18/3/2022,Need for renewal,400000,N/A,0,0,expired,
46,Dindi Investment  ,"Box 1759, Lilongwe",888500000,dindiholdingsmw77@gmail.com,Lilongwe,"BDP 21/2021,CP 21/2021",19/03/2021,18/03/2022,Need for renewal,980000,N/A,420000,0,Active,
47,Malawi Relief Fund UK,"Box 51872, Limbe",0999245648/0888827058,admin@malawirelief.org,Blantyre,"BDP 20/2021,CP 20/2021",19/3/2021,18/3/2022,Need for renewal,980000,N/A,0,0,expired,
48,Dechagos Construction ,"Box 94, Karonga",999246905,chagomaj@yahoo.com,Karonga,"BDP 19/2021,CP 19/2021",9/29/2022,9/28/2023,Need for renewal,750000,N/A,420000,0,Active,
49,United Purpose ,"Box 159, Lilongwe ",0992219685/01772745,uplilongwe@united-purpose.org,Lilongwe,"BDP 18/2021,CP 18/2021",19/03/2021,18/03/2022,Renewed,980000,N/A,420000,0,Active,
50,"Mthunzi Wa Kachere, drilling Compan ","Box 19, Mtunthuma, Kasungu",997670143,hon.mfkazombo@gmail.com,Kasungu,"BDP 23/2021,CP 23/2021",19/03/2021,18/03/2022,Renewed,980000,N/A,580000,0,Active,
51,Mozagua Malawi LTD,"Box 51569, Limbe ",0888843892/0888824022,mozagua@africa-online.net,Blantyre,"BDP 27/2021,CP 27/2021",30/6/2021,29/6/2022,Renewed,980000,N/A,580000,0,Active,
52,I & I Transport and Drilling ,"Box 4295, Soche , Blantyre",0995267274/0881188111,1ishpatel786@gmail.com,Blantyre,"BDP 24/2021,CP 24/2021",19/03/2021,18/03/2022,Renewed,490000,N/A,210000,0,Active,
53,Master Borehole Drilling,"Box 1085, Lilongwe",01759583/0995809337,mastersborehole@gmail.com,Lilongwe,"BDP 14/2021,CP 14/2021",19/3/2021,18/3/2022,Need for renewal,490000,N/A,580000,0,Active,
54,"Mercury Construction, Clean Water Drilling","P/ Bag 411, Lilongwe",0888988546/0997610630,fredchiweza@gmail.com,Lilongwe,"BDL 58/2022,CP 58/2022",XX,XX,XX,980000,N/A,0,0,expired,
55,Water For Life Boreholes ,"Box 19, Lumbadzi",0999254963/0994652020,rashidsatinumali@gmail.com,Dowa,"BDL 59/2022,CP 59/2023",25/3/2022,24/3/2023, ,490000,N/A,0,0,expired,
56,Peniel Construction ,"Box 1129, Blantyre",888604260,penielconstleb@gmail.com,Blantyre,"BDL 60/2022,CP 60/2023",25/3/2022,24/3/2023,Need for renewal,490000,N/A,0,0,expired,
57,RYMECH Limited,"P/Bag 5, Bvumbwe",0999808764/0884910764,luke@ness.africa / lmutuwawira@yahoo.com,Thyolo,"BDL 50/2021,CP 50/2022",2021,2022,Need for renewal,490000,N/A,0,0,expired,need more invistigation
58,Leads Limited ,"P.O Box 3206, Blantyre",XX,,Blantyre,"BDL 62/2022,CP 62/2023",XX,XX,Need for renewal,490000,N/A,0,0,expired,
59,OG Madzi Driller,Limbe,999151787,info@ogmadzidrillers.com,Blantyre,"BDL 63/2022,CP 63/2023",XX,XX,Need for renewal,980000,N/A,0,0,expired,
60,AI-rede Farm Limited,"Box 481, Zomba",0999455145/0991468937,,Zomba,"BDL 7/2022,CP 7/2023",25/3/2022,24/3/2023,Not yet for renewal,980000,N/A,N/A,580000,expired,
61,Royale Hill Construction,"E350 Post dot Net, Lilongwe",0999747500/0993762646,royal.limited@gmail.com,Lilongwe,BDL57/2022,9/29/2022,9/28/2023,Not yet due for renewal,980000,N/A,N/A,580000,Active,
62,Double Universal Construction Engineering Co Ltd ,P.O.Box 40328,0995422802/0888375302,ducemalawi@gmail.com,Lilongwe,BDL58/2022,9/29/2022,9/28/2023,Not yet due for renewal,490000,,,,Active,
63,Chipula Construction and Water Services ,P.O.Box 5656,0884182573/09981123105,,Blantyre,BDL68/2022,9/29/2022,9/28/2023,Not yet for renewal,490000,N/A,N/A,0,Active,
64,Contact Drillers ,P.O.Box 5306,0999469867/0888517011,cdrillers@gmail.com,Blantyre,BDL69/2022,9/29/2022,9/28/2023,Not yet for renewal,980000,N/A,N/A,0,Active,
65,Competent Electrical and Solar Contractors,P.O.Box 108,0995078505/0882142506,rodneykaunga@gmail.com,Mzuzu,BDL65/2022,9/29/2022,9/28/2023,Not yet for renewal,490000,N/A,N/A,0,Active,
66,Mathews Borehole,P.O. Box 38,0888909960/088909960,kattyolekel@gmail.com,Lilongwe,BDL66/2022,9/29/2022,9/28/2023,Not yet for renewal,490000,N/A,N/A,0,Active,
67,Pyramid Civil Engineering ,P.O. Box 31137,0888874936/0881550494,pyramidgroup2010@gmail.com,Lilongwe,BDL67/2022,9/29/2022,9/28/2023,Not yet for renewal,980000,N/A,N/A,0,Active,
68,Rodu Drilling Company,P.O.Box 40304,0998900900/0888688880,,Lilongwe,BDL70/2022,9/29/2022,9/28/2023,Not yet for Renewal,490000,N/A,N/A,0,Active,
69,Choice Construction,P.O. Box 31284,0999061449/0888115015,,Lilongwe,BDL71/2022,3/8/2024,3/7/2025,Renewed,980000,N/A,N/A,0,Active,
70,Orifice Irrigation and Water Supply Limited,P.O.Box 54,0982636384/0982636384,oiws@gmail.com,Lilongwe,BDL72/2022,9/29/2022,9/28/2023,Not yet for renewal,980000,N/A,N/A,0,Active,
71,Mpatsa Engineering Limited,P.O.Box 3055,0982636384/0982636384 ,ulayamwale@gmail.com,Blantyre,BDL73/2022,9/29/2022,9/28/2023,Not yet due for renewal,980000,N/A,N/A,0,Active,
72,DEC Construction ,"Box 3034, Blantyre",0885911536/0888859272/0999333303,deccostruction@rocketmail.com,Blantyre,"BDL 76/2022, CP76/2022",6/16/2022,6/15/2023,Not yet due for renewal,980000,N/A,N/A,0,Active,
73,Joka Construction,"Box 31162, Blantyre",0996604114/0881279996,jokaconstruction@gmail.com,Blantyre,"BDL 74/2022,CP 74/2022",16/06/2022,6/15/2023,Need for renewal,980000,N/A,N/A,0,Active,
74,Nyalunganu Construction,"P.O Box 2512, Lilongwe",0998648333 / 0886664900 ,edgarmahambasoko@gmail.com,Lilongwe,BDL 44/2021,30.09.2021,29.09.2022,Due for Renewal,490000,N/A,0,0,expired,
75,Oversees Limited,"Box 51122, Limbe",888317107,jmbyaila@gmail.com,Blantyre,"BDL53/2021,CP53/2021",6/12/2021,5/12/2022,Not yet for renewal,490000,N/A,490000,0,Active,
76,Pinnacle Investments ,"Box 2033, Blantyre",0992678092/+253310002287,info@pinnaclemw.net,Blantyre,"BDL 79/2023, CP 79/2023",4/28/2023,4/27/2024,Not yet for renewal,980000,N/A,N/A,0,Active,
77,Allam Afro Arah Limited,"Box 47, Blantyre",0990354544/0984939500,,Blantyre,"BDL 78/2023, CP 78/2023",4/28/2023,4/27/2024,Not yet for renewal,980000,N/A,N/A,0,Active,
78,Hydrotek 5 Primrose Court ,"Walani Road ,Mount Pleasant   ",888861651/0999961651 ,hydrotekmw@gmail ,Blantyre ,"BDL80/2023,CP80/2023",4/28/2023,4/27/2024,Not yet for renewal,980000,N/A,N/A,0,Active,
79,Kumudzi Kuwale LTD ,"Box 162, Nkhotakota",888728242/0990212987,contact@kumudzikuwale.com,Nkhotakota,BDL75/2022,12/16/2022,12/15/2023,Not yet due for renewal,490000,N/A,N/A,0,Active,
80,Aquatech Master ,"Box 5483, Limbe",0888362743/0998058585,aquatech.master@yahoo.com,Blantyre,BDL 77/2022,6/16/2022,6/15/2023,Need for renewal,490000,N/A,N/A,0,Active,
81,World Changes Borehole Constractors ,"Box 31804 , Blantyre",999374165,wchangersbc@yahoo.com/bmalekano99@gmail.com,Blantyre,BDL 81/2023/CP 81/2023,8/11/2023,8/10/2024,Not yet for renewal,980000,N/A,N/A,N/A,Active,
82,Sachiko Water Limited,"P. O Box 279, Balaka",0995124265/0992235336,sachikowaterlimited@gmail.com,Balaka,BDL 82/2023/CP 82/2023,8/11/2023,8/10/2024,Not yet for renewal,980000,N/A,N/A,N/A,Active,
83,Clear Water Boreholes Drillers,"P. O Box 1665, Lilongwe",0999705139/0999786700,sawaka@gmail.com,Lilongwe,BDL 83/2023,8/11/2023,8/10/2024,Not yet for renewal,490000,N/A,N/A,N/A,Active,
84,Hope Water Limited,"The Hope Centre Building, Kanyere Village, Box 169, Lumbadzi",0999267323/0888467323,innocentsemu77@gmail.com,Lilongwe,BDL 84/2023/CP84/2023,8/11/2023,8/10/2024,Not yet for renewal,980000,N/A,N/A,N/A,Active,
85,HPL Engineering Limited,Box 31818 Lilongwe 3,,hplengineeringmw@gmail.com,Lilongwe,BDL94/2023,3/8/2024,3/7/2025,,980000,,,,,
86,Ron Company,Box 31792 Lilongwe,,ronchiwaula@gmail.com,Lilongwe,BDL95 /2023,3/8/2024,3/7/2025,,980000,,,,,
87,Leonor Engineering Limited,Box 2146 Lilongwe,,,Lilongwe,BDL 96 /2023,3/8/2024,3/7/2025,,980000,,,,,
88,Aroha Irrigation,Box 20165 Lilongwe ,,,Lilongwe,BDL97 /2023,3/8/2024,3/7/2025,,980000,,,,Active,
89,Kasupe Water Drilling,Box 227 Zomba,,kasupewaters@gmail.com,Lilongwe,BDL 98 /2023,3/8/2024,3/7/2025,,980000,,,,,
90,Chipozani Drilling Company,Box 1160 Lilongwe,,chiukepongwira@yahoo.com,Lilongwe,BDL 99 /2023,3/8/2024,3/7/2025,,980000,,,,,
91,Hydrotech Limited,"P. O. Box 40677 Kanengo, Lilongwe",,suzgo.mapunda@hydrotechmw.com,Lilongwe,BDL100/2023,3/8/2024,3/7/2025,,980000,,,,,
92,Water and Sanitation Products,P. O. Box 493 Lilongwe,,wspmalawi@gmail.com,Lilongwe,BDL 101/2023,3/8/2024,3/7/2025,,980000,,,,,
93,Solarise Limited,P. O. Box 721 Lilongwe,,hello@solarisemw.net,Lilongwe,BDL 102/2023,3/8/2024,3/7/2025,,980000,,,,,
